id,name,city,country,3code,4code,latitude,longitude,altitude,timezone,dst,dob
4055,Jinghong,Jinghong,China,JHG,\N,21.973914,100.759611,1815,8.0,U,48
4085,Yinchuan,Yinchuan,China,INC,ZLIC,38.481944,106.009167,3600,8.0,U,128
4097,Lhasa-Gonggar,Lhasa,China,LXA,ZULS,29.297778,90.911944,13136,8.0,U,58
4108,Jinan,Jinan,China,TNA,ZSJN,36.857214,117.215992,76,8.0,U,238
4109,Changzhou,Changzhou,China,CZX,ZSCG,31.941667,119.711667,39,8.0,U,74
4110,Yibin,Yibin,China,YBP,ZUYB,28.800278,104.544444,1000,8.0,U,20
4120,Meilan,Haikou,China,HAK,ZJHK,19.934856,110.458961,75,8.0,U,197
4144,Shenyang Taoxian International Airport,Shenyang,China,SHE,ZYTX,41.3824,123.2901,198,8.0,U,222
4145,Dongying Airport,Dongying,China,DOY,ZSDY,37.2716,118.2819,86,8.0,U,12
4148,Luoyang Airport,Luoyang,China,LYA,ZHLY,34.41,112.28,210,8.0,U,18
4149,Xuzhou Guanyin Airport,Xuzhou,China,XUZ,ZSXZ,34.16,117.11,140,8.0,U,33
4301,Jiuzhaigou Huanglong,Jiuzhaigou,China,JZH,ZUJZ,32.857,103.683,11311,8.0,U,32
4302,Wai Sha Airport,Shantou,China,SWA,ZGOW,23.4,116.683,0,8.0,U,65
4308,Dunhuang Airport,Dunhuang,China,DNH,ZLDH,40.094,94.4818,3688,8.0,U,14
4334,Mudanjiang,Mudanjiang,China,MDG,\N,44.523889,129.568889,883,8.0,U,16
4380,Changchun,Changchun,China,CGQ,ZYCC,43.5412,125.1201,227,8.0,U,121
5475,Nantong Airport,Nantong,China,NTG,,32.0708,120.976,0,8.0,U,36
6341,Beijing Nanyuan Airport,Beijing,China,NAY,ZBBB,39.7825,116.387778,0,8.0,U,161
6342,Chifeng Airport,Chifeng,China,CIF,ZBCF,42.235,118.908,0,8.0,U,30
6343,Changzhi Airport,Changzhi,China,CIH,ZBCZ,36.2475,113.126,0,8.0,U,32
6344,Datong Airport,Datong,China,DAT,ZBDT,40.0603,113.482,3442,8.0,U,22
6345,Baita Airport,Hohhot,China,HET,ZBHH,40.851422,111.824103,3556,8.0,U,170
6346,Baotou Airport,Baotou,China,BAV,ZBOW,40.56,109.997,3321,8.0,U,58
6347,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,SJW,ZBSJ,38.280686,114.6973,233,8.0,U,159
6348,Tongliao Airport,Tongliao,China,TGO,ZBTL,43.5567,122.2,0,8.0,U,26
6349,Ulanhot Airport,Ulanhot,China,HLH,ZBUL,46.083,122.017,0,8.0,U,14
6350,Xilinhot Airport,Xilinhot,China,XIL,ZBXH,43.9156,115.964,0,8.0,U,14
6351,Beihai Airport,Beihai,China,BHY,ZGBH,21.5394,109.294,0,8.0,U,41
6352,Changde Airport,Changde,China,CGD,ZGCD,28.9189,111.64,0,8.0,U,16
6353,Dayong Airport,Dayong,China,DYG,ZGDY,29.1028,110.443,692,8.0,U,38
6354,Meixian Airport,Meixian,China,MXZ,ZGMX,24.35,116.133,0,8.0,U,6
6355,Zhuhai Airport,Zhuhai,China,ZUH,ZGSD,22.0064,113.376,0,8.0,U,138
6356,Bailian Airport,Liuzhou,China,LZH,ZGZH,24.2075,109.391,295,8.0,U,28
6357,Zhanjiang Airport,Zhanjiang,China,ZHA,ZGZJ,21.2144,110.358,0,8.0,U,38
